session_id,config_id,browser_profile,mux_mode,parallel,padding_mode,resolver_mode,success,pcap_file,browser_log,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20,detector_proxy_probability,public_robust_log_distance,public_robust_log_distance_norm,compliance_score,compliance_penalty,overhead_norm,praxis_score_phase17,public_baseline,public_baseline_rows,public_distance,public_distance_norm,overhead_norm_recalc,praxis_score_rebaseline
RQ7_CONFIRM_baseline_default_off_11,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_11.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_11_browser.json,21609,69,35,34,0,10618,4831,15449,1.139084,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.541297156146651,0.3823041461691156,1,0.0,0.8406993686255464,0.6258414195904678,mawi_day1,10000,14.49771035601739,0.3817985303226707,0.8406993686255464,0.625664454044212
RQ7_CONFIRM_baseline_default_off_12,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_12.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_12_browser.json,21937,72,37,35,0,10682,4831,15513,1.144409,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.541232783506818,0.3822755491604128,1,0.0,1.0,0.6337964422061445,mawi_day1,10000,14.497242876221687,0.3815916858789783,1.0,0.6335570900576424
RQ7_CONFIRM_baseline_default_off_13,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_13.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_13_browser.json,21545,69,35,34,0,10554,4831,15385,1.14453,44,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.540650295171666,0.3820167835725386,1,0.0,0.8096163186012627,0.6241866901804516,mawi_day1,10000,14.497062489257164,0.3815118705764366,0.8096163186012627,0.624009970631816
RQ7_CONFIRM_baseline_default_off_14,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_14.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_14_browser.json,21633,70,36,34,0,10554,4831,15385,1.143213,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.544963056109124,0.3839326916723161,1,0.0,0.8523555123846528,0.6269942177045432,mawi_day1,10000,14.501388131554123,0.3834258251104128,0.8523555123846528,0.6268168144078771
RQ7_CONFIRM_baseline_default_off_15,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_15.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_15_browser.json,21665,70,36,34,0,10586,4831,15417,1.142199,44,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.545548166129812,0.3841926219221377,1,0.0,0.8678970373967946,0.627862269542588,mawi_day1,10000,14.501974635849583,0.3836853339829524,0.8678970373967946,0.627684718763873
RQ7_CONFIRM_baseline_default_off_16,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_16.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_16_browser.json,21305,67,34,33,0,10490,4831,15321,1.14148,42,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,1998,1.0,15.672595428360555,0.8848739742745741,1,0.0,0.6930548810101991,0.794358635046611,mawi_day1,10000,15.632548812467423,0.8839272455380577,0.6930548810101991,0.7940272799888302
RQ7_CONFIRM_baseline_default_off_17,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_17.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_17_browser.json,21577,69,35,34,0,10586,4831,15417,1.141105,44,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.541238148402684,0.3822779324706852,1,0.0,0.8251578436134046,0.6250551685454101,mawi_day1,10000,14.49765159631758,0.38177253108691667,0.8251578436134046,0.6248782780610911
RQ7_CONFIRM_baseline_default_off_18,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_18.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_18_browser.json,21625,71,37,34,0,10458,4831,15289,1.142971,42,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.537540459213837,0.3806352648686296,1,0.0,0.8484701311316173,0.6256458492606013,mawi_day1,10000,14.493944111240237,0.38013209080399785,0.8484701311316173,0.6254697383379801
RQ7_CONFIRM_baseline_default_off_19,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_19.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_19_browser.json,21481,69,35,34,0,10490,4831,15321,1.143154,44,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.53997882689146,0.381718489385718,1,0.0,0.7785332685769791,0.6225281347138503,mawi_day1,10000,14.496389520484572,0.38121410401482475,0.7785332685769791,0.6223515998340376
RQ7_CONFIRM_baseline_default_off_20,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_20.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_20_browser.json,21545,69,35,34,0,10554,4831,15385,1.141477,44,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.54169913988254,0.3824827240932654,1,0.0,0.8096163186012627,0.624349769362706,mawi_day1,10000,14.498114297769028,0.38197726127033943,0.8096163186012627,0.624172857374682
RQ7_CONFIRM_baseline_default_off_21,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_21.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_21_browser.json,21449,69,35,34,0,10458,4831,15289,1.14448,42,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.528943888151566,0.3768163098262908,1,0.0,0.7629917435648373,0.6200352956174436,mawi_day1,10000,14.485321760994138,0.3763169842338922,0.7629917435648373,0.6198605316601041
RQ7_CONFIRM_baseline_default_off_22,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_22.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_22_browser.json,21569,70,36,34,0,10490,4831,15321,1.139051,42,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.532782276438144,0.3785214818297903,1,0.0,0.8212724623603691,0.6235461417584451,mawi_day1,10000,14.489171065617775,0.3780201750044851,0.8212724623603691,0.6233706843695882
RQ7_CONFIRM_baseline_default_off_23,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_23.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_23_browser.json,21545,69,35,34,0,10554,4831,15385,1.141934,42,0,0,0,1727,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.528588867586455,0.3766585948993222,1,0.0,0.8096163186012627,0.6223113241448259,mawi_day1,10000,14.48496460544425,0.376158954642651,0.8096163186012627,0.622136450054991
RQ7_CONFIRM_baseline_default_off_24,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_24.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_24_browser.json,21209,67,34,33,0,10394,4831,15225,1.144279,42,0,0,0,1791,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.52220875712026,0.3738242840026785,1,0.0,0.6464303059737737,0.6131600146996261,mawi_day1,10000,14.478981785269124,0.37351175336847314,0.6464303059737737,0.6130506289776543
RQ7_CONFIRM_baseline_default_off_25,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_25.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_25_browser.json,21577,69,35,34,0,10586,4831,15417,1.144272,46,0,0,0,1823,0,-1369,0,80,655,0,-255,0,-255,0,-208,0,-366,0,0,0,1.0,14.552931922132208,0.3874727939828929,1,0.0,0.8251578436134046,0.6268733700746828,mawi_day1,10000,14.50938069483601,0.3869622716497429,0.8251578436134046,0.6266946872580802
RQ7_CONFIRM_baseline_default_off_26,baseline_default_off,default,off,1,none,standard_dns,1,/opt/praxis/pcaps/RQ7_CONFIRM_baseline_default_off_26.pcap,/opt/praxis/logs/RQ7_CONFIRM_baseline_default_off_26_browser.json,21545,69,36,33,0,10554,4831,15385,1.146769,46,0,0,0,1759,0,-1369,0,80,655,0,-255,0,-255,0,-574,0,0,0,0,2094,1.0,15.723079473142954,0.9073010903866726,1,0.0,0.8096163186012627,0.8080361975653986,mawi_day1,10000,15.683161513278943,0.9063217020244627,0.8096163186012627,0.8076934116386251
