source_dataset,public_ground_truth,session_id,client_endpoint,server_endpoint,pcap_size_bytes,packet_count,out_packets,in_packets,unknown_packets,out_payload_bytes,in_payload_bytes,total_payload_bytes,flow_duration_seconds,burst_count,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,len_9,len_10,len_11,len_12,len_13,len_14,len_15,len_16,len_17,len_18,len_19,len_20
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000011,157.82.4.249.36228,54.36.67.156.443,79751606,7,7,0,0,5738,0,5738,7.981553,1,189,189,189,1448,1448,2086,189,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000012,133.11.71.112.54086,54.168.176.132.443,79751606,68,68,0,0,1075,0,1075,7.419834,1,58,0,0,0,0,0,60,0,58,0,0,58,0,0,58,0,0,59,58,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000013,120.84.229.239.33826,150.129.7.132.443,79751606,304,304,0,0,0,0,0,8.148381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000014,157.82.236.203.63262,3.2.125.85.443,79751606,2264,2264,0,0,1394,0,1394,8.130268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000015,202.96.58.148.50610,31.242.146.60.443,79751606,105,61,44,0,42646,2622,45268,8.044944,36,0,73,884,0,-35,0,0,0,-179,-137,0,0,0,0,81,1370,1370,3552,0,-35
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000016,133.11.155.200.47417,3.2.237.104.443,79751606,2198,2198,0,0,5744,0,5744,7.786031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000017,120.84.230.28.24661,150.129.7.132.443,79751606,288,288,0,0,0,0,0,8.14603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000018,160.161.125.178.31751,163.208.22.183.443,79751606,157,0,157,0,0,12033,12033,7.799677,1,-186,-162,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000019,126.181.224.143.50906,192.205.239.36.22,79751606,2058,2058,0,0,155204,0,155204,8.147728,1,68,0,68,68,36,68,68,0,68,68,68,104,0,68,136,104,68,0,68,0
mawi_202403011400_samplepoint_F,0,MAWI_FLOW_000020,133.11.32.123.64179,101.77.57.50.443,79751606,379,0,379,0,0,800264,800264,0.109835,1,-2896,-1448,-2896,-2896,-1448,-1448,-2896,-2896,-1448,-2896,-4344,-2896,-1448,-2896,-1448,-1448,-1448,-1448,-2896,-1448
